uid,ID,Results_of_analysis,Bird_species_FR,CD_nom,Bird_species_LAT,Bird_family_latin,Code_INSEE_municipality,Obs_date,Zone_of_enhanced_surveillance_ZRP,Name_ZRP,Nb_birds_lab_pools,X_Municipality_centroid_Lambert93,Y_Municipality_centroid_Lambert93
3887,44_20221116_B,HP,Goeland_argente,3302,Larus_argentatus,Laridae,44211,18/08/2022,Yes,DPM_DE_MESQUER_AU_CROISIC_ET_BAIE_DE_VILAINE,1,285931,6708326
3888,26_20220321_A,negative,Milan_royal,2846,Falco_milvus,Accipitridae,26064,20/01/2022,No,NA,1,858600,6425700
3903,41_20180724_A,negative,Pelican_blanc,2460,Pelecanus_onocrotalus,Pelecanidae,41198,22/05/2018,No,NA,1,574450,6684932
3901,31_20210304_A,negative,Pigeon_biset,3420,Columba_livia,Columbidae,31488,03/02/2021,No,NA,1,578848,6286405
3892,07_20220518_A,negative,Pigeon_ramier,3424,Columba_palumbus,Columbidae,7349,29/03/2022,Yes,FLEUVE_ET_VALLEE_DU_RHONE,1,840540,6413065
3896,69_20210524_A,negative,Tourterelle_turque,3431,Columba_decaocto,Columbidae,69273,28/04/2021,Yes,FLEUVE_ET_VALLEE_DU_RHONE,1,848476,6509441
3897,69_20160113_A,negative,Tourterelle_turque,3431,Columba_decaocto,Columbidae,69296,13/01/2016,Yes,FLEUVE_ET_VALLEE_DU_RHONE,2,843308,6507083
3898,69_20160324_A,negative,Tourterelle_turque,3431,Columba_decaocto,Columbidae,69249,24/03/2016,No,NA,1,826276,6510664
3899,01_20210204_A,negative,Tourterelle_turque,3431,Columba_decaocto,Columbidae,1053,01/02/2021,Yes,LA_DOMBES,1,872839,6569849
3904,2A_20190124_A,negative,Tourterelle_turque,3431,Columba_decaocto,Columbidae,2A004,09/01/2019,No,NA,1,1171812,6109485
3902,18_20220504_A,negative,Pinson_du_nord,4568,Fringilla_montifringilla,Fringillidae,18032,28/02/2022,No,NA,2,691483,6703815
3893,51_20181002_A,negative,Sarcelle_d_hiver,1958,Anas_crecca,Anatidae,51016,21/08/2018,Yes,CHAMPAGNE_HUMIDE_DONT_LAC_DU_DER,1,824801,6835518
3894,51_20181002_B,negative,Sarcelle_d_hiver,1958,Anas_crecca,Anatidae,51419,22/08/2018,Yes,CHAMPAGNE_HUMIDE_DONT_LAC_DU_DER,3,823556,6830322
3895,50_20170121_B,negative,Tournepierre_a_collier,3239,Arenaria_interpres,Scolopacidae,50507,21/01/2017,Yes,ISTHME_DU_COTENTIN,2,389840,6939882
3900,86_20200827_A,negative,Verdier_d_Europe,4580,Carduelis_chloris,Fringillidae,86193,30/04/2020,No,NA,2,530080,6630043
4084,23_20221221_A,negative,Grebe_huppe,967,Colymbus_cristatus,Podicipedidae,23040,28/11/2022,No,NA,1,638846,6569632
3906,40_20210524_A,negative,Canard_colvert,1966,Anas_platyrhynchos,Anatidae,40192,26/04/2021,Yes,RA_DU_NE_ET_SE_DES_LANDES,1,418801,6317212
4382,56_20230102_A,negative,Canard_colvert,1966,Anas_platyrhynchos,Anatidae,56063,03/12/2022,Yes,COTE_ATLANTIQUE_RADE_DE_LORIENT,1,219034,6765324
4429,59_20230113_E,HP,Canard_colvert,1966,Anas_platyrhynchos,Anatidae,59512,07/12/2022,No,NA,1,712748,7066082
4756,94_20221222_A,negative,Canard_colvert,1966,Anas_platyrhynchos,Anatidae,94033,28/11/2022,No,NA,1,661139,6861425
4088,23_20230105_A,negative,Fuligule_milouin,1994,Anas_ferina,Anatidae,23114,15/12/2022,No,NA,1,648496,6566119
