Code INSEE;Code Postal;Commune;Département;Région
64012;64130;AINHARP;['PYRENEES-ATLANTIQUES'];['AQUITAINE']
2A108;20126;EVISA;['CORSE-DU-SUD'];['CORSE']
28232;28240;MANOU;['EURE-ET-LOIR'];['CENTRE']
62761;62128;SAINT-MARTIN-SUR-COJEUL;['PAS-DE-CALAIS'];['NORD-PAS-DE-CALAIS']
56219;56460;SAINT-GUYOMARD;['MORBIHAN'];['BRETAGNE']
58034;58120;BLISMES;['NIEVRE'];['BOURGOGNE']
37115;37160;DESCARTES;['INDRE-ET-LOIRE'];['CENTRE']
14407;14920;MATHIEU;['CALVADOS'];['BASSE-NORMANDIE']
11175;11400;ISSEL;['AUDE'];['LANGUEDOC-ROUSSILLON']
62084;62810;BARLY;['PAS-DE-CALAIS'];['NORD-PAS-DE-CALAIS']
45234;45000/45100;ORLEANS;['LOIRET'];['CENTRE']
65214;65230;HACHAN;['HAUTES-PYRENEES'];['MIDI-PYRENEES']
84067;84870;LORIOL-DU-COMTAT;['VAUCLUSE'];"[""PROVENCE-ALPES-COTE D'AZUR""]"
64446;64350;PEYRELONGUE-ABOS;['PYRENEES-ATLANTIQUES'];['AQUITAINE']
52170;52190;DOMMARIEN;['HAUTE-MARNE'];['CHAMPAGNE-ARDENNE']
59209;59127;ESNES;['NORD'];['NORD-PAS-DE-CALAIS']
80798;80260;VILLERS-BOCAGE;['SOMME'];['PICARDIE']
50006;50620;AMIGNY;['MANCHE'];['BASSE-NORMANDIE']
14453;14400;MOSLES;['CALVADOS'];['BASSE-NORMANDIE']
87141;87310;SAINT-CYR;['HAUTE-VIENNE'];['LIMOUSIN']
34078;34270;CLARET;['HERAULT'];['LANGUEDOC-ROUSSILLON']
55208;55110;GESNES-EN-ARGONNE;['MEUSE'];['LORRAINE']
9145;9100;LES ISSARDS;['ARIEGE'];['MIDI-PYRENEES']
65189;65320;GAYAN;['HAUTES-PYRENEES'];['MIDI-PYRENEES']
3076;3230;CHEZY;['ALLIER'];['AUVERGNE']
44220;44640;VUE;['LOIRE-ATLANTIQUE'];['PAYS DE LA LOIRE']
80406;80490;HALLENCOURT;['SOMME'];['PICARDIE']
8202;8230;GUE-D'HOSSUS;['ARDENNES'];['CHAMPAGNE-ARDENNE']
27568;27190;SAINTE-MARTHE;['EURE'];['HAUTE-NORMANDIE']
67525;67310;WESTHOFFEN;['BAS-RHIN'];['ALSACE']
81196;81490;NOAILHAC;['TARN'];['MIDI-PYRENEES']
2A028;20160;BALOGNA;['CORSE-DU-SUD'];['CORSE']
36047;36170;LA CHATRE-LANGLIN;['INDRE'];['CENTRE']
81231;81240;ROUAIROUX;['TARN'];['MIDI-PYRENEES']
21621;21110;TART-L'ABBAYE;"[""COTE-D'OR""]";['BOURGOGNE']
67340;67110;OBERBRONN;['BAS-RHIN'];['ALSACE']
2B123;20240;GHISONACCIA;['HAUTE-CORSE'];['CORSE']
61049;61570;BOISSEI-LA-LANDE;['ORNE'];['BASSE-NORMANDIE']
79049;79300;BRESSUIRE;['DEUX-SEVRES'];['POITOU-CHARENTES']
17450;17380;TORXE;['CHARENTE-MARITIME'];['POITOU-CHARENTES']
69178;69610;SOUZY;['RHONE'];['RHONE-ALPES']
77520;77760;VILLIERS-SOUS-GREZ;['SEINE-ET-MARNE'];['ILE-DE-FRANCE']
28417;28130;VILLIERS-LE-MORHIER;['EURE-ET-LOIR'];['CENTRE']
70010;70210;ALAINCOURT;['HAUTE-SAONE'];['FRANCHE-COMTE']
68184;68480;LIEBSDORF;['HAUT-RHIN'];['ALSACE']
72277;72110;SAINT-DENIS-DES-COUDRAIS;['SARTHE'];['PAYS DE LA LOIRE']
61126;61170;COULONGES-SUR-SARTHE;['ORNE'];['BASSE-NORMANDIE']
79042;79800;BOUGON;['DEUX-SEVRES'];['POITOU-CHARENTES']
28199;28310;JANVILLE;['EURE-ET-LOIR'];['CENTRE']
64529;64190;SUS;['PYRENEES-ATLANTIQUES'];['AQUITAINE']
